Department,Author
PM01,Marty Cagan
PM02,Eric Ries
PM03,Jeff Patton
PM04,"Richard Banfield, Martin Eriksson & Nate Walkingshaw"
PM05,Chris Goward
PM06,Steve Krug
PM07,Dame Stephanie Shirley
PM08,"Chip Heath, Dan Heath"
PM09,"Robert W. Palmatier, Shrihari Sridhar"
PM10,"Ralf Wirdemann, Johannes Mainusch"
PM11,"Louis Lewitan, Markus Boehler"
PM12,"Elizabeth Goodman, Mike Kuniavsky, Andrea Moed"
PM12.1,"Elizabeth Goodman, Mike Kuniavsky, Andrea Moed"
PM13,Matt Lemay
PM14,Hans Gutbrod
PM15,Jeff Sutherland
PM16,"Tom Kelly, David Kelly"
PM17,"Pat Heim, Tammy Hughes, Susan K.Golant"
PM18,multiple authors
PM19,Nir Eyal
PM20,"Jim Loehr, Tony Schwartz"
PM21,"Editors: Michael I. Norton, Derek D. Rucker, Cait Lamberton"
PM22,"Werner Kroeber-Riel, Andrea Groeppel-Klein"
PM22.1,"Werner Kroeber-Riel, Andrea Groeppel-Klein"
PM23,"Hester Van Herk, Carlos J. Torelli"
PM24,"Richerd P. Bagozzi, Zaynerp Guerhan-Canle, Joseph R. Priester"
PM25,"Claudiu V. Dimofte, Curtis "
PM26,Robert B. Cialdini
PM27,"Douglas Stone, Bruce Patton, Sheila Heen"
PM28,"Fons Trompennaars, Charles Hampden-Turner"
PM29,Ash Maurya
PM30,"Sean Ellis, Morgan Brown"
PM31,Chris Grey
PM32,Dark hourse innovation
PM32.1,Dark hourse innovation
PM32.2,Dark hourse innovation
PM32.3,Dark hourse innovation
PM33,Croll and Yoskovitz
PM34,Kevin Cashman
PM35,Simon Sinek
PM35.1,Simon Sinek
PM36,James Clear
PM37,Frank Thelen
PM37.1,Frank Thelen
PM38,"Lois P. Frankel, PhD"
PM39,Daniel H. Pink
PM40,Kim Scott
PM41,Stephen R. Covey
PM42,"Douglas Stone, Sheila Heen"
PM43,Kevin Cashman
PM44,Emily Chang
PM45,Daniel Goleman
PM46,Mik Kersten
PM47,Steve Blank
PM48,Daniel Kahneman
PM49,Bernard Roth
PM50,"Adam Gazzaley, Larry D. Rosen,"
PM51,"Patterson, Grenny, McMillan, Switzler"
PM52,"Pat Heim, Susan A. Murphy, Susan K. Golant"
PM53,Frederic Laloux
PM54,Dark hourse innovation
PM54.1,Dark hourse innovation
PM55,Lara Penin
PM56,Nenad Pacek
PM57,Jessica Livingston
PM58,"Annette Doll, Alexander P. Hansen"
PM59,"Val Racheeva, Maxi Knust"
PM60,Matthias Schrader
PM60.1,Matthias Schrader
PM60.2,Matthias Schrader
PM60.3,Matthias Schrader
PM60.4,Matthias Schrader
PM60.5,Matthias Schrader
PM60.6,Matthias Schrader
PM61,Marco De Micheli
PM62,Kim Weinand
PM63,Patrick Lencioni
PM64,Eric Ries
PM65,Michael E. Porter
PM66,Donella H. Meadows
PM67,Karl Fogel
PM68,Dark hourse innovation
PM69,"Rose Bickerton, Veronica Virginia Corsi"
PM70,Richard Rumelt
PM71,"David J. Bland, Alex Osterwalder"
PM72,Anne Miltenburg
PM73,Adam Braus